,Unnamed: 0,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,1,19.67,1582.0,126.2,5.0,12.5
1,2,Honda Jazz V,2011,46000,Petrol,Manual,1,18.2,1199.0,88.7,5.0,4.5
2,3,Maruti Ertiga VDI,2012,87000,Diesel,Manual,1,20.77,1248.0,88.76,7.0,6.0
3,4,Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,2,15.2,1968.0,140.8,5.0,17.74
4,6,Nissan Micra Diesel XV,2013,86999,Diesel,Manual,1,23.08,1461.0,63.1,5.0,3.5
5,7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,1,11.36,2755.0,171.5,8.0,17.5
6,8,Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,1,20.54,1598.0,103.6,5.0,5.2
7,9,Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,2,22.3,1248.0,74.0,5.0,1.95
8,10,Maruti Ciaz Zeta,2018,25692,Petrol,Manual,1,21.56,1462.0,103.25,5.0,9.95
9,11,Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,1,16.8,1497.0,116.3,5.0,4.49
10,12,Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,1,25.2,1248.0,74.0,5.0,5.6
11,13,Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,1,12.7,2179.0,187.7,5.0,27.0
12,14,Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,2,12.347356557377035,2179.0,115.0,5.0,17.5
13,15,Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,1,13.5,2477.0,175.56,7.0,15.0
14,16,Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,1,25.8,1498.0,98.6,5.0,5.4
15,17,Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,1,28.4,1248.0,74.0,5.0,5.99
16,18,Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,1,20.45,1461.0,83.8,5.0,6.34
17,19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,1,14.84,2143.0,167.62,5.0,28.0
18,20,BMW 3 Series 320d,2014,32982,Diesel,Automatic,1,22.69,1995.0,190.0,5.0,18.55
19,21,Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,2,23.65,1248.0,88.5,5.0,8.25
20,22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,1,13.53,1984.0,177.01,5.0,23.5
21,23,Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,1,18.5,1197.0,80.0,5.0,1.87
22,24,Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,1,14.4,1598.0,103.6,5.0,2.85
23,25,Honda City Corporate Edition,2012,51920,Petrol,Manual,1,16.8,1497.0,116.3,5.0,4.25
24,26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,1,23.08,1461.0,63.1,5.0,4.25
25,27,Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,2,20.92,998.0,67.1,5.0,2.75
26,28,Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,1,17.5,1199.0,88.7,5.0,9.9
27,29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,4,12.8,2494.0,102.0,7.0,4.0
28,30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,1,19.01,1461.0,108.45,5.0,7.75
29,31,Toyota Corolla Altis G,2012,87615,Petrol,Manual,1,14.53,1798.0,138.1,5.0,6.75
30,32,Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,2,11.18,2696.0,184.0,7.0,12.5
31,33,Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,1,12.4,2698.0,179.5,5.0,11.5
32,34,Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,2,16.09,1598.0,103.5,5.0,6.98
33,35,Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,2,14.0,1061.0,64.0,5.0,1.85
34,36,Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,1,24.3,1248.0,88.5,5.0,8.63
35,37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,1,18.15,1198.0,82.0,5.0,4.85
36,38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,1,11.74,2987.0,254.8,5.0,28.0
37,39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,1,22.07,1199.0,73.9,5.0,5.0
38,40,Maruti Alto LXi,2008,90000,Petrol,Manual,2,19.7,796.0,46.3,5.0,1.25
39,41,Tata Nano LX SE,2014,19698,Petrol,Manual,1,25.4,624.0,37.5,4.0,1.53
40,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,1,25.32,1198.0,77.0,6.0,5.58
41,43,Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,1,18.5,1197.0,82.9,5.0,4.74
42,44,Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,1,14.62,1999.0,149.92,5.0,8.85
43,45,Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,1,14.28,1798.0,138.03,5.0,10.11
44,46,Hyundai Elantra CRDi,2008,58005,Diesel,Manual,2,14.9,1991.0,112.2,5.0,4.25
45,47,Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,1,11.25,2694.0,163.7,7.0,10.95
46,48,Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,1,24.4,1120.0,71.0,5.0,3.85
47,49,Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,2,16.55,2498.0,105.0,6.0,5.5
48,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,1,17.11,1968.0,174.33,5.0,21.43
49,51,Maruti Swift LDI,2014,52000,Diesel,Manual,1,22.9,1248.0,74.0,5.0,4.25
50,52,Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,1,17.8,1248.0,75.0,5.0,3.3
51,53,Maruti Swift VDI,2013,65650,Diesel,Manual,1,28.4,1248.0,74.0,5.0,3.85
52,54,Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,3.6
53,55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,1,15.04,1598.0,103.2,5.0,3.99
54,56,Renault KWID RXT,2017,16542,Petrol,Manual,1,25.17,799.0,53.3,5.0,3.3
55,57,Hyundai i10 Asta,2010,32000,Petrol,Manual,1,20.36,1197.0,78.9,5.0,2.07
56,58,Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,1,13.29,1995.0,147.6,5.0,7.75
57,59,Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,1,18.2,998.0,67.1,5.0,2.25
58,60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,1,13.68,2393.0,147.8,8.0,16.5
59,61,Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,1,20.0,1399.0,68.0,5.0,2.75
60,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,1,11.74,1796.0,186.0,5.0,26.7
61,63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,2,15.8,2148.0,170.0,5.0,10.0
62,64,Tata Indica V2 eLS,2016,178000,Diesel,Manual,1,25.0,1396.0,69.0,5.0,2.5
63,65,Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,1,16.55,1968.0,140.0,5.0,13.5
64,66,Honda City ZX CVT,2007,63000,Petrol,Automatic,2,16.4,1497.0,78.0,5.0,1.85
65,67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,1,19.330834572095963,1950.0,194.0,5.0,35.67
66,68,Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,1,24.52,1248.0,88.5,7.0,8.15
67,69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,1,22.1,1396.0,88.7,5.0,10.5
68,70,Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,1,8.5,4806.0,500.0,5.0,14.5
69,71,Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,1,15.1,2179.0,140.0,7.0,9.65
70,72,Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,1,16.95,1197.0,78.9,5.0,3.48
71,73,Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,1,19.64,1461.0,108.5,5.0,6.92
72,74,Honda Brio VX AT,2016,37300,Petrol,Automatic,2,16.5,1198.0,86.8,5.0,6.46
73,75,Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,2,18.53,1968.0,187.74,5.0,29.5
74,76,Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,1,17.8,1399.0,113.82763389013172,5.0,2.0
75,77,Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,3,12.4,1998.0,132.0,8.0,4.5
76,78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,1,12.8,2494.0,102.0,7.0,11.75
77,79,Hyundai Santro Xing XL,2005,87591,Petrol,Manual,1,19.330834572095963,1086.0,113.82763389013172,5.0,1.3
78,80,Maruti Swift VDI,2012,95100,Diesel,Manual,1,22.9,1248.0,74.0,5.0,3.75
79,81,Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,1,17.57,1193.0,88.7,5.0,4.5
80,82,Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,1,18.0,1198.0,86.7,5.0,4.82
81,83,Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,1,20.0,1399.0,68.0,5.0,2.8
82,84,Maruti Ritz VDi,2013,99638,Diesel,Manual,1,23.2,1248.0,73.94,5.0,3.11
83,85,Honda City i VTEC E,2009,52000,Petrol,Manual,1,17.8,1497.0,117.3,5.0,3.25
84,86,BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,2,16.73,1995.0,218.0,5.0,13.9
85,87,Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,1,20.36,1197.0,78.9,5.0,2.25
86,88,Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,1,18.9,1197.0,82.0,5.0,5.75
87,89,Hyundai Santro Xing XO,2007,73745,Petrol,Manual,1,17.0,1086.0,113.82763389013172,5.0,2.1
88,90,Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,1,17.8,1198.0,86.7,5.0,5.0
89,91,Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,1,13.0,2982.0,168.5,7.0,16.5
90,92,Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,1,17.68,1968.0,174.33,5.0,39.58
91,93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,1,22.7,1498.0,89.84,5.0,5.5
92,94,Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,1,15.1,2179.0,140.0,7.0,8.1
93,95,Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,1,25.8,1498.0,98.6,5.0,3.5
94,96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,1,22.07,1199.0,73.9,5.0,2.79
95,97,Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,1,16.2,1493.0,110.0,5.0,3.45
96,98,Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,1,18.9,998.0,67.1,5.0,4.45
97,99,Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,1,15.26,1598.0,103.5,5.0,2.65
98,100,Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,2,23.0,1396.0,90.0,5.0,3.8
